Player,Pos,3P,TRB,AST,STL,BLK,TOV,PTS,G
A'ja Wilson,F,0.4,10.4,2.2,1.5,2.3,1.4,25.2,39
Caitlin Clark,G,3.3,5.7,8.1,1.2,0.6,5.2,20.5,40
Breanna Stewart,F,1.6,8.7,3.5,1.6,1.4,1.6,21.1,39
Napheesa Collier,F,0.9,9.3,3.1,1.8,1.3,2.2,20.8,36
Alyssa Thomas,F,0,9.7,7.1,1.7,0.5,3.5,13.5,40
Arike Ogunbowale,G,2.8,3.7,4.6,1.6,0.2,2.6,20.4,39
Sabrina Ionescu,G,3.4,5.4,6,1.1,0.3,2.7,17.6,37
Jonquel Jones,F,1.4,9.4,3,0.7,1.3,2.3,14.3,39
Jewell Loyd,G,2.1,4,3.8,1.3,0.3,2.4,19.6,38
Kelsey Plum,G,3.1,2.6,4.6,0.9,0,2.2,19.8,39
Aliyah Boston,F,0.2,9,3.1,1.1,1.3,2,14.3,40
Angel Reese,F,0.1,13.2,2.1,1.4,0.6,2.4,15,36
Nneka Ogwumike,F,0.7,7.7,2.5,1.8,0.6,1.6,17.5,37
Satou Sabally,F,2.3,7.7,5.2,1.6,0.4,2.7,18.8,32
Kahleah Cooper,G,2.1,4.5,2.2,0.8,0.2,2.8,20.9,37
Jackie Young,G,2.1,4.2,4.9,1.2,0.2,1.9,16.8,38
Skylar Diggins-Smith,G,1.1,3,6.3,1.6,0.9,2.7,15.9,37
Tina Charles,F,0.6,9.2,2.2,0.8,0.5,2.2,16.6,37
Rhyne Howard,G,2.6,4.5,3.2,1.6,0.6,1.7,17.4,36
Paige Bueckers,G,1.8,4.5,4.1,1.8,0.8,2.1,16.5,36
Dearica Hamby,F,0.4,7.9,3.3,1.5,0.3,2.9,13.9,39
Allisha Gray,G,1.6,4.7,2.9,1.1,0.6,1.8,16.3,39
Ezi Magbegor,F,0.5,7.8,2.2,1.1,2.1,1.8,12.2,38
Kelsey Mitchell,G,2.6,2,2.1,0.8,0.2,2.1,18.6,40
Marina Mabrey,G,2.4,4.1,3.8,1.1,0.5,2.3,14.3,39
DeWanna Bonner,F,1.4,5.9,2.1,1.2,0.7,1.5,13.9,40
NaLyssa Smith,F,0.6,9.2,1.3,0.8,0.9,2.3,14,37
Natasha Howard,F,0.6,7.1,2.4,1.3,1.1,2.8,16.3,33
Brittney Griner,F,0.1,7.5,2.5,0.5,1.6,1.9,17.9,31
Courtney Williams,G,0.7,5.3,5.6,1,0.4,2.5,11.2,39
Natasha Cloud,G,1.2,4,6.6,1.2,0.4,2.8,11.7,37
Alana Smith,F,1,6.1,2.9,1.4,1.4,1.7,9.8,39
Kayla McBride,G,2.4,2.8,2.7,1.3,0.2,1.9,15,38
Jordin Canada,G,0.9,3.3,5.9,1.9,0.2,2.4,11.5,37
Brittney Sykes,G,1,4.4,3.4,1.6,0.4,2.3,13.6,36
Ariel Atkins,G,1.9,3.3,2.6,1.4,0.4,1.7,14.3,37
Rickea Jackson,F,1.1,4.8,1.9,0.8,0.4,2.3,14.6,38
Teaira McCowan,F,0,8.6,1.6,0.8,1.1,1.8,12.2,35
Chelsea Gray,G,1.1,3.4,6.3,1.4,0.6,2.4,11.6,34
Sonia Citron,G,1.3,4.9,2.3,1.4,0.6,2.2,11.8,37
Courtney Vandersloot,G,0.9,3.3,7.4,1.3,0.5,2.6,9.9,35
Kamila Cardoso,F,0,8.4,1.8,0.6,1.6,1.7,10.6,33
Leonie Fiebich,F,1.8,4.4,2.9,1.1,0.2,1.3,9.3,39
Dijonai Carrington,G,0.8,3.7,1.5,1.4,0.3,1.7,11.6,38
Brionna Jones,F,0.1,6.3,1.6,1.6,0.6,1.7,8.7,38
Azura Stevens,F,1.3,6.4,1.6,1.1,1,1.7,9.8,34
Aneesah Morrow,F,0.3,6.1,1.1,1.2,0.6,1.9,10.5,36
Aaliyah Edwards,F,0,6.5,1.7,0.9,0.9,1.7,8.9,37
Elizabeth Williams,F,0,6.5,1.9,1.5,1.7,1.6,9.8,31
Cameron Brink,F,0.6,5.9,1.9,1.2,2.6,2.5,8.4,31
Julie Vanloo,G,2.1,1.9,4.8,0.6,0,2.9,9.2,39
Gabby Williams,F,0.7,4.3,3.7,1.5,0.4,1.8,9.6,34
Stefanie Dolson,F,1.4,4.4,2.3,0.4,0.7,1.5,8.8,38
Dominique Malonga,F,0.4,8.2,1.2,1,1.1,2.1,10.4,30
Shakira Austin,F,0,7.1,0.9,1.1,0.9,2.1,12.5,29
Natasha Mack,F,0,6.9,1.8,0.8,1.9,0.6,4.1,39
Kiki Iriafen,F,0,5.7,1.4,0.5,0.4,1.9,10.2,37
Tiffany Hayes,G,1.1,2.9,2.3,0.9,0.2,1.2,10.6,36
Monique Billings,F,0.1,6,1.2,0.9,0.4,1.7,7.7,38
Chennedy Carter,G,0.2,3.2,2.9,0.9,0.3,1.8,14.9,28
Bridget Carleton,F,1.8,3.4,1.9,0.7,0.2,0.9,8,38
Myisha Hines-Allen,F,0.4,4.8,2.6,0.7,0.2,1.4,7.6,37
Isabelle Harrison,F,0.1,5.1,1.2,0.9,0.4,1.4,8.6,36
Diamond DeShields,G,0.8,4,2.2,0.8,0.4,2.1,10,32
Kayla Thornton,F,1.1,4.5,1.2,0.8,0.3,0.9,7,38
Alysha Clark,F,1.3,3.6,1.7,0.7,0.3,1.3,6.4,39
Erica Wheeler,G,0.7,2.7,2.6,0.9,0.1,1.7,7.1,39
Sami Whitcomb,G,1.5,2,2.2,0.8,0.3,1.5,7.1,39
Rebecca Allen,G,1.2,3.6,1,0.9,1.1,0.9,7.1,34
Maddy Siegrist,F,0.5,4,1.4,0.5,0.3,0.8,10.4,32
Dana Evans,G,1.1,1.3,2.6,0.7,0.2,1.5,7.9,39
Kia Nurse,G,1.4,2.3,1.6,0.5,0.1,1.3,8.1,39
Shatori Walker-Kimbrough,G,0.8,1.8,1.7,0.9,0.5,1.2,6.9,39
Jacy Sheldon,G,0.9,2.3,2.6,0.6,0.3,1.8,6.3,39
Odyssey Sims,G,0.6,2.2,4.8,1.2,0.2,2,9.8,26
Sophie Cunningham,G,1.2,3.1,1.3,0.8,0.4,1.1,6.5,36
Lindsay Allen,G,0.4,2.3,4.1,0.7,0.1,1.4,6.1,36
Aari McDonald,G,1.1,2,3.2,0.8,0.1,1.8,8.5,31
Dorka Juhasz,F,0.3,4.6,1.6,0.6,0.5,0.8,5.3,36
Natisha Hiedeman,G,0.8,1.7,2.6,0.8,0.1,1.2,5.8,39
Michaela Onyenwere,F,0.8,2.6,1.2,0.7,0.4,1.4,7,36
Naz Hillmon,F,0,4.4,1.2,0.6,0.2,1.1,5.2,39
Sevgi Uzun,G,0.6,1.9,2.8,0.9,0.4,1.9,4.8,38
